id,suburb,state_id
575,YENNORA,70
576,CHESTER HILL,70
577,SEFTON,70
578,CARRAMAR,70
579,LANSDOWNE,70
580,VILLAWOOD,70
581,SMITHFIELD,70
582,SMITHFIELD WEST,70
583,WETHERILL PARK,70
584,WOODPARK,70
585,FAIRFIELD EAST,70
586,FAIRFIELD HEIGHTS,70
587,FAIRFIELD WEST,70
588,CABRAMATTA,70
589,CABRAMATTA WEST,70
590,CANLEY HEIGHTS,70
591,CANLEY VALE,70
592,LANSVALE,70
593,GLENFIELD,70
594,ASHCROFT,70
595,BUSBY,70
596,CARTWRIGHT,70
597,GREEN VALLEY,70
598,HECKENBERG,70
599,HINCHINBROOK,70
600,MILLER,70
601,SADLEIR,70
602,CASULA,70
603,CASULA MALL,70
604,CHIPPING NORTON,70
605,HAMMONDVILLE,70
606,LIVERPOOL SOUTH,70
607,LIVERPOOL WESTFIELD,70
608,LURNEA,70
609,MOUNT PRITCHARD,70
610,PRESTONS,70
611,WARWICK FARM,70
612,CECIL HILLS,70
613,ELIZABETH HILLS,70
614,HORNINGSEA PARK,70
615,HOXTON PARK,70
616,LEN WATERS ESTATE,70
617,MIDDLETON GRANGE,70
618,WEST HOXTON,70
619,PLEASURE POINT,70
620,SANDY POINT,70
621,VOYAGER POINT,70
622,HOLSWORTHY,70
623,WATTLE GROVE,70
624,EDMONDSON PARK,70
625,INGLEBURN MILPO,70
626,HORSLEY PARK,70
627,ABBOTSBURY,70
628,BOSSLEY PARK,70
629,EDENSOR PARK,70
630,GREENFIELD PARK,70
631,PRAIRIEWOOD,70
632,ST JOHNS PARK,70
633,WAKELEY,70
634,BONNYRIGG,70
635,BONNYRIGG HEIGHTS,70
636,CECIL PARK,70
637,KEMPS CREEK,70
638,MOUNT VERNON,70
639,AUSTRAL,70
640,LEPPINGTON,70
641,CHULLORA,70
642,GREENACRE,70
643,MOUNT LEWIS,70
644,BELFIELD,70
645,BELMORE,70
646,ASHBURY,70
647,CANTERBURY,70
648,HURLSTONE PARK,70
649,CAMPSIE,70
650,LAKEMBA,70
651,WILEY PARK,70
652,PUNCHBOWL,70
653,ROSELANDS,70
654,BASS HILL,70
655,GEORGES HALL,70
656,YAGOONA,70
657,YAGOONA WEST,70
658,BANKSTOWN AERODROME,70
659,BANKSTOWN NORTH,70
660,BANKSTOWN SQUARE,70
661,CONDELL PARK,70
662,MANAHAN,70
663,DULWICH HILL,70
664,MARRICKVILLE METRO,70
665,MARRICKVILLE SOUTH,70
666,ARNCLIFFE,70
667,TURRELLA,70
668,WOLLI CREEK,70
669,CLEMTON PARK,70
670,EARLWOOD,70
671,BARDWELL PARK,70
672,BARDWELL VALLEY,70
673,BEXLEY,70
674,BEXLEY NORTH,70
675,BEXLEY SOUTH,70
676,KINGSWAY WEST,70
677,BEVERLY HILLS,70
678,NARWEE,70
679,LUGARNO,70
680,PEAKHURST,70
681,PEAKHURST HEIGHTS,70
682,RIVERWOOD,70
683,PADSTOW,70
684,PADSTOW HEIGHTS,70
685,REVESBY,70
686,REVESBY HEIGHTS,70
687,REVESBY NORTH,70
688,EAST HILLS,70
689,PANANIA,70
690,PICNIC POINT,70
691,BANKSIA,70
692,BRIGHTON-LE-SANDS,70
693,KYEEMAGH,70
694,ROCKDALE,70
695,BEVERLEY PARK,70
696,KOGARAH BAY,70
697,MONTEREY,70
698,RAMSGATE,70
699,RAMSGATE BEACH,70
700,ALLAWAH,70
701,CARLTON,70
702,DOLLS POINT,70
703,SANDRINGHAM,70
704,SANS SOUCI,70
705,HURSTVILLE GROVE,70
706,HURSTVILLE WESTFIELD,70
707,BLAKEHURST,70
708,CARSS PARK,70
709,CONNELLS POINT,70
710,KYLE BAY,70
711,SOUTH HURSTVILLE,70
712,PENSHURST,70
713,MORTDALE,70
714,OATLEY,70
715,KANGAROO POINT,70
716,SYLVANIA,70
717,SYLVANIA SOUTHGATE,70
718,SYLVANIA WATERS,70
719,OYSTER BAY,70
720,BONNET BAY,70
721,COMO,70
722,JANNALI,70
723,GYMEA,70
724,GYMEA BAY,70
725,YOWIE BAY,70
726,CARINGBAH SOUTH,70
727,DOLANS BAY,70
728,LILLI PILLI,70
729,PORT HACKING,70
730,TAREN POINT,70
731,BUNDEENA,70
732,BURRANEER,70
733,CRONULLA,70
734,MAIANBAR,70
735,WOOLOOWARE,70
736,KURNELL,70
737,AUDLEY,70
738,GARIE,70
739,GRAYS POINT,70
740,KAREELA,70
741,KIRRAWEE,70
742,LOFTUS,70
743,WORONORA,70
744,ENGADINE,70
745,HEATHCOTE,70
746,WATERFALL,70
747,WORONORA HEIGHTS,70
748,YARRAWARRAH,70
749,ALFORDS POINT,70
750,BANGOR,70
751,BARDEN RIDGE,70
752,ILLAWONG,70
753,LUCAS HEIGHTS,70
754,MENAI,70
755,MENAI CENTRAL,70
756,BUCKETTY,70
757,CALGA,70
758,CENTRAL MANGROVE,70
759,EAST GOSFORD,70
760,ERINA,70
761,ERINA FAIR,70
762,GLENWORTH VALLEY,70
763,GOSFORD,70
764,GREENGROVE,70
765,HOLGATE,70
766,KARIONG,70
767,KULNURA,70
768,LISAROW,70
769,LOWER MANGROVE,70
770,MANGROVE CREEK,70
771,MANGROVE MOUNTAIN,70
772,MATCHAM,70
773,MOONEY MOONEY CREEK,70
774,MOUNT ELLIOT,70
775,MOUNT WHITE,70
776,NARARA,70
777,NIAGARA PARK,70
778,NORTH GOSFORD,70
779,PEATS RIDGE,70
780,POINT CLARE,70
781,POINT FREDERICK,70
782,SOMERSBY,70
783,SPRINGFIELD,70
784,TASCOTT,70
785,TEN MILE HOLLOW,70
786,UPPER MANGROVE,70
787,WENDOREE PARK,70
788,WEST GOSFORD,70
789,WYOMING,70
790,AVOCA BEACH,70
791,BENSVILLE,70
792,BOUDDI,70
793,COPACABANA,70
794,DAVISTOWN,70
795,GREEN POINT,70
796,KINCUMBER,70
797,KINCUMBER SOUTH,70
798,MACMASTERS BEACH,70
799,PICKETTS VALLEY,70
800,SARATOGA,70
801,YATTALUNGA,70
802,CENTRAL COAST MC,70
803,BLACKWALL,70
804,HORSFIELD BAY,70
805,KOOLEWONG,70
806,LITTLE WOBBY,70
807,PATONGA,70
808,PEARL BEACH,70
809,PHEGANS BAY,70
810,WONDABYNE,70
811,WOY WOY,70
