suburb,state_id,postcode,postcode,suburb,
ASHLEY,70,,7330,ARTHUR RIVER,
ASHMONT,70,,3099,ARTHURS CREEK,
ASHMORE,72,,7030,ARTHURS LAKE,
ASHMORE CITY,72,,3936,ARTHURS SEAT,
ASHTON,73,,5572,ARTHURTON,
ASHTONFIELD,70,,2820,ARTHURVILLE,
ASHVILLE,73,,2715,ARUMPO,
ASHWELL,72,,4214,ARUNDEL,
ASHWOOD,75,,3364,ASCOT,
ASPENDALE,75,,3551,ASCOT,
ASPENDALE GARDENS,75,,4007,ASCOT,
ASPLEY,72,,6104,ASCOT,
ASQUITH,70,,5043,ASCOT PARK,
ATHELSTONE,73,,3032,ASCOT VALE,
ATHERTON,72,,3442,ASHBOURNE,
ATHLONE,75,,5157,ASHBOURNE,
ATHOL,72,,3147,ASHBURTON,
ATHOL PARK,73,,2193,ASHBURY,
ATHOLWOOD,70,,2463,ASHBY,
ATITJERE,71,,6065,ASHBY,
ATKINSONS DAM,72,,2463,ASHBY HEIGHTS,
ATO ACTIVITY STATEMENTS,70,,2463,ASHBY ISLAND,
ATTADALE,76,,2168,ASHCROFT,
ATTUNGA,70,,6111,ASHENDON,
ATTWOOD,75,,1800,ASHFIELD,
ATWELL,76,,2131,ASHFIELD,
AUBIGNY,72,,4670,ASHFIELD,
AUBIN GROVE,76,,6054,ASHFIELD,
AUBREY,75,,2361,ASHFORD,
AUBURN,70,,5035,ASHFORD,
AUBURN SOUTH,75,,4060,ASHGROVE,
AUBURN VALE,70,,4060,ASHGROVE WEST,
AUCHENFLOWER,72,,2400,ASHLEY,
AUCHMORE,75,,2650,ASHMONT,
AUDLEY,70,,4214,ASHMORE,
AUGATHELLA,72,,4214,ASHMORE CITY,
AUGUSTA,76,,5137,ASHTON,
AUGUSTINE HEIGHTS,72,,2323,ASHTONFIELD,
AULDANA,73,,5259,ASHVILLE,
AURUKUN,72,,4340,ASHWELL,
AUSTINMER,70,,3147,ASHWOOD,
AUSTINS FERRY,74,,3195,ASPENDALE,
AUSTINVILLE,72,,3195,ASPENDALE GARDENS,
AUSTRAL,70,,4034,ASPLEY,
AUSTRAL EDEN,70,,2077,ASQUITH,
AUSTRALIA FAIR,72,,5076,ATHELSTONE,
AUSTRALIA PLAINS,73,,4883,ATHERTON,
AUSTRALIA SQUARE,70,,3818,ATHLONE,
AUSTRALIAN DEFENCE FORCES,70,,4350,ATHOL,
AUSTRALIAN NATIONAL UNIVERSITY,69,,5012,ATHOL PARK,
AUSTRALIND,76,,2361,ATHOLWOOD,
AVALON,70,,4311,ATKINSONS DAM,
AVALON BEACH,70,,6156,ATTADALE,
AVELEY,76,,2345,ATTUNGA,
AVENEL,75,,3049,ATTWOOD,
AVENELL HEIGHTS,72,,6164,ATWELL,
AVENUE RANGE,73,,4401,AUBIGNY,
AVISFORD,70,,6164,AUBIN GROVE,
AVOCA,70,,3393,AUBREY,
AVOCA BEACH,70,,1835,AUBURN,
AVOCA DELL,73,,2144,AUBURN,
AVOCA VALE,72,,3123,AUBURN,
AVON,70,,5451,AUBURN,
AVON DOWNS,71,,3122,AUBURN SOUTH,
AVON PLAINS,75,,2360,AUBURN VALE,
AVON VALLEY NATIONAL PARK,76,,4066,AUCHENFLOWER,
AVONDALE,70,,3570,AUCHMORE,
AVONDALE HEIGHTS,75,,2232,AUDLEY,
AVONMORE,75,,4477,AUGATHELLA,
AVONSIDE,70,,6290,AUGUSTA,
AVONSLEIGH,75,,4300,AUGUSTINE HEIGHTS,
AWABA,70,,5072,AULDANA,
AXE CREEK,75,,4871,AURUKUN,
AXEDALE,75,,2587,AURVILLE,
AYERS ROCK,71,,2515,AUSTINMER,
AYLMERTON,70,,7011,AUSTINS FERRY,
AYR,72,,4213,AUSTINVILLE,
AYRFORD,75,,2179,AUSTRAL,
AYTON,72,,2440,AUSTRAL EDEN,
BAAN BAA,70,,4215,AUSTRALIA FAIR,
BAANDEE,76,,5374,AUSTRALIA PLAINS,
BABAKIN,76,,1209,AUSTRALIA SQUARE,
BABBAGE ISLAND,76,,1210,AUSTRALIA SQUARE,
BABINDA,70,,1211,AUSTRALIA SQUARE,
